approach_name,dataset_name,sensitive_name,classifier_name,tot_inputs,disc_inputs,disc_rate,total_generated,duplicates,duplication_rate,elapsed_time,time_to_1000_disc,egs,inference_count
SG,bank,age,DecisionTreeClassifier,18079.0,13069.0,72.31,19385.0,1306.0,6.72,3300.1,235.03,3.96,
SG,bank,age,RandomForestClassifier,14354.0,9664.0,67.29,15877.0,1523.0,9.42,3300.17,344.85,2.93,
SG,bank,age,SVC,2056.0,120.0,5.1,2135.0,80.0,3.28,3300.86,,0.04,
SG,bank,age,Sequential,12544.0,7592.0,60.52,14465.0,1921.0,13.28,3300.17,472.35,2.3,
SG,bank,marital,DecisionTreeClassifier,20077.0,10684.0,53.2,21126.0,1049.0,4.95,3300.09,306.13,3.24,
SG,bank,marital,RandomForestClassifier,15328.0,8531.0,55.61,17298.0,1971.0,11.39,3300.08,417.53,2.59,
SG,bank,marital,SVC,2093.0,30.0,1.27,2143.0,50.0,2.02,3301.11,,0.01,
SG,bank,marital,Sequential,14896.0,3213.0,21.57,17577.0,2681.0,15.25,3300.1,1256.11,0.97,
SG,census,age,DecisionTreeClassifier,12583.0,9821.0,78.03,29335.0,16752.0,57.41,3300.13,964.9,2.98,
SG,census,age,RandomForestClassifier,19314.0,11887.0,61.56,20907.0,1592.0,7.84,3300.07,789.68,3.6,
SG,census,age,SVC,1506.0,429.0,25.49,1584.0,78.0,4.46,3301.16,,0.13,
SG,census,age,Sequential,15436.0,10083.0,65.32,17510.0,2074.0,11.84,3300.11,300.31,3.06,
SG,census,race,DecisionTreeClassifier,22624.0,6561.0,29.12,28892.0,6268.0,21.26,3300.13,1581.56,1.99,
SG,census,race,RandomForestClassifier,12674.0,2715.0,21.22,19755.0,7081.0,35.75,3300.07,1697.5,0.82,
SG,census,race,SVC,1453.0,36.0,2.21,1580.0,128.0,7.24,3301.13,,0.01,
SG,census,race,Sequential,13109.0,3248.0,24.78,18181.0,5072.0,27.9,3300.08,1213.95,0.98,
SG,census,sex,DecisionTreeClassifier,22700.0,6502.0,28.14,29130.0,6430.0,20.81,3300.09,1894.08,1.97,
SG,census,sex,RandomForestClassifier,13565.0,4483.0,31.0,20465.0,6900.0,32.05,10483.54,,1.32,
SG,census,sex,SVC,1508.0,20.0,1.14,1583.0,74.0,4.3,3301.38,,0.01,
SG,census,sex,Sequential,8073.0,1094.0,13.55,17231.0,9158.0,53.15,3300.38,3019.89,0.33,
SG,compas,age,DecisionTreeClassifier,15637.0,8516.0,54.47,27234.0,11598.0,42.52,3300.07,262.64,2.58,
SG,compas,age,RandomForestClassifier,7471.0,3125.0,41.69,23934.0,16463.0,68.96,3300.12,673.7,0.95,
SG,compas,age,SVC,782.0,498.0,64.52,4768.0,3986.0,82.67,3300.51,,0.15,
SG,compas,race,DecisionTreeClassifier,16054.0,11512.0,71.64,26325.0,10271.0,39.18,3300.13,194.84,3.49,
SG,compas,race,RandomForestClassifier,7559.0,3771.0,49.57,23198.0,15639.0,67.05,3300.1,529.04,1.14,
SG,compas,race,SVC,1061.0,581.0,53.77,5443.0,4382.0,80.46,3300.2,,0.18,
SG,compas,sex,DecisionTreeClassifier,19720.0,7572.0,38.39,27296.0,7576.0,27.72,3300.14,321.96,2.29,
SG,compas,sex,RandomForestClassifier,6513.0,1580.0,24.27,21974.0,15461.0,69.95,3300.13,1804.55,0.48,
SG,compas,sex,SVC,1504.0,164.0,9.95,4841.0,3338.0,67.57,3300.29,,0.05,
SG,credit,age,DecisionTreeClassifier,34410.0,12732.0,36.98,39354.0,4944.0,12.52,3300.09,232.15,3.86,
SG,credit,age,RandomForestClassifier,21667.0,14126.0,65.22,26120.0,4452.0,17.11,3300.12,205.62,4.28,
SG,credit,age,SVC,23784.0,7611.0,31.97,25418.0,1634.0,6.31,3300.12,501.72,2.31,
SG,credit,age,Sequential,19338.0,9758.0,50.46,22031.0,2693.0,12.22,3300.17,317.85,2.96,
SG,credit,sex,DecisionTreeClassifier,37236.0,12573.0,33.78,40799.0,3563.0,8.7,3300.06,247.52,3.81,
SG,credit,sex,RandomForestClassifier,26332.0,12185.0,46.41,31248.0,4916.0,15.78,3300.13,289.56,3.69,
SG,credit,sex,SVC,6882.0,34.0,0.47,27085.0,20203.0,72.3,3300.07,,0.01,
SG,credit,sex,Sequential,16387.0,4150.0,25.32,24501.0,8114.0,33.12,3300.28,696.03,1.26,
SG,meps,sex,DecisionTreeClassifier,17785.0,12750.0,71.63,19073.0,1288.0,6.7,3300.11,254.78,3.86,
SG,meps,sex,RandomForestClassifier,18654.0,10014.0,53.52,19498.0,844.0,4.37,3300.08,358.89,3.03,
SG,meps,sex,SVC,2996.0,9.0,0.27,3028.0,32.0,1.03,3300.9,,0.0,
SG,meps,sex,Sequential,12877.0,5240.0,40.69,13539.0,662.0,4.89,3300.13,611.16,1.59,
