dataset_name,sensitive_name,classifier_name,tot_inputs_aFairPHS,tot_inputs_bFairESTEO,tot_inputs_cAFT,tot_inputs_dFairPES,disc_inputs_aFairPHS,disc_inputs_bFairESTEO,disc_inputs_cAFT,disc_inputs_dFairPES,disc_rate_aFairPHS,disc_rate_bFairESTEO,disc_rate_cAFT,disc_rate_dFairPES,total_generated_aFairPHS,total_generated_bFairESTEO,total_generated_cAFT,total_generated_dFairPES,duplicates_aFairPHS,duplicates_bFairESTEO,duplicates_cAFT,duplicates_dFairPES,duplication_rate_aFairPHS,duplication_rate_bFairESTEO,duplication_rate_cAFT,duplication_rate_dFairPES,elapsed_time_aFairPHS,elapsed_time_bFairESTEO,elapsed_time_cAFT,elapsed_time_dFairPES,time_to_1000_disc_aFairPHS,time_to_1000_disc_bFairESTEO,time_to_1000_disc_cAFT,time_to_1000_disc_dFairPES,egs_aFairPHS,egs_bFairESTEO,egs_cAFT,egs_dFairPES,inference_count_aFairPHS,inference_count_bFairESTEO,inference_count_cAFT,inference_count_dFairPES
bank,age,DecisionTreeClassifier,"981,064","948,827","1,009,647","939,731","920,359","828,951","861,792",815000,93.81,87.37,85.35,86.73,1000000,1000000,1009647,1000200,18936,51173,0,60469,1.89,5.12,0,6.05,466.34,468.25,148.89,446.7,0.84,0.93,2.03,0.91,"1,979.71","1,785.34","5,860.13","1,828.46",5209591,5398222,1029855,5224083.5
bank,marital,DecisionTreeClassifier,"983,000","954,381","1,007,087","948,318","936,035","857,141","861,825",844354,95.22,89.81,85.57,89.04,1000000,1000000,1007087,1000200,17000,45619,0,51882,1.7,4.56,0,5.19,247.57,226.65,133.79,229.14,0.39,0.44,0.92,0.46,"3,796.27","3,782.53","6,443.89","3,684.98",2374145.5,2402257,611092,2390008.25
census,age,DecisionTreeClassifier,"996,803","976,298","1,009,099","974,630","990,585","942,341","927,027",947645,99.38,96.52,91.87,97.23,1000000,1000000,1009099,1000200,3197,23702,1,25570,0.32,2.37,0,2.56,222.94,235.37,118.08,229.66,0.33,0.43,0.9,0.37,"4,444.01","4,021.33","7,897.94","4,127.47",2090651.5,2562269,864334,2415716
census,race,DecisionTreeClassifier,"992,337","966,683","1,001,555","962,674","846,136","754,022","464,925",755284,85.26,78,46.42,78.46,1000000,1000000,1001555,1000200,7663,33317,0,37526,0.77,3.33,0,3.75,325.25,339.07,191.97,339.71,1.08,1.48,5.72,1.35,"2,613.37","2,225.36","2,451.56","2,229.30",3376694.38,3868480,1304061,3850027.75
census,sex,DecisionTreeClassifier,"991,504","971,144","1,003,285","966,522","838,166","809,725","705,417",819238,84.52,83.37,70.31,84.76,1000000,1000000,1003285,1000200,8496,28856,0,33678,0.85,2.89,0,3.37,213.94,198.49,103.22,196.09,0.43,0.52,1.61,0.54,"3,917.59","4,085.63","6,886.65","4,178.51",2000000,2000000,501125,2000400
compas,age,DecisionTreeClassifier,"984,010","893,700","1,008,179","868,621","875,599","818,026","956,216",784371,88.98,91.53,94.85,90.3,1000000,1000000,1008333,1000200,15990,106300,154,131579,1.6,10.63,0.02,13.16,387.73,375.61,95.38,386.62,0.58,0.65,0.98,0.62,"2,265.64","2,187.29","10,055.13","2,042.12",4193982.57,4786172,739285,4440865
compas,race,DecisionTreeClassifier,"988,024","901,622","1,008,864","869,234","945,379","856,737","959,785",828600,95.68,95.02,95.13,95.33,1000000,1000000,1009168,1000200,11976,98378,304,130966,1.2,9.84,0.03,13.09,320.66,305.5,79.24,314.45,0.46,0.47,0.94,0.45,"2,950.18","2,807.72","12,120.24","2,636.48",3281441.57,3467226,621476,3470317.75
compas,sex,DecisionTreeClassifier,"979,858","894,641","1,008,907","866,358","808,345","791,512","948,399",761043,82.5,88.48,94,87.85,1000000,1000000,1009311,1000200,20142,105359,403,133842,2.01,10.54,0.04,13.38,215.53,197.81,66.05,197.38,0.36,0.41,0.65,0.43,"3,752.04","4,002.09","14,359.37","3,855.83",2000000,2000000,508394,2000400
credit,age,DecisionTreeClassifier,"974,176","882,497","1,002,152","863,452","802,087","800,538","896,471",779482,82.33,90.71,89.46,90.28,1000000,1000000,1002156,1000200,25824,117503,4,136748,2.58,11.75,0,13.67,472.14,445.64,103.96,468.03,0.77,0.9,0.92,0.94,"1,699.51","1,803.41","8,637.81","1,674.68",5231013,5251790,861305,5441173.75
credit,sex,DecisionTreeClassifier,"967,177","875,978","1,003,143","837,481","880,504","734,011","825,085",690889,91.03,83.79,82.24,82.49,1000000,1000000,1003145,1000200,32823,124022,1,162719,3.28,12.4,0,16.27,219.46,198.11,96.65,198.32,0.75,0.89,4.17,0.82,"4,012.87","3,707.15","8,599.70","3,483.79",2000000,2000000,501041,2000400
meps,sex,DecisionTreeClassifier,"989,612","979,771","1,000,902","979,348","882,030","914,756","361,746",917057,89.13,93.36,36.14,93.64,1000000,1000000,1000902,1000200,10388,20229,0,20852,1.04,2.02,0,2.08,229.33,212.64,217.09,213.05,0.34,0.38,2.81,0.41,"3,846.51","4,302.49","1,672.76","4,304.61",2000000,2000000,500445,2000400
,,,"984,324","931,413","1,005,711","916,034","884,111","827,978","797,153",812996.64,89.8,88.91,79.21,88.74,1000000,1000000,1005789.82,1000200,15675.91,68587.09,78.82,84166.45,1.57,6.86,0.01,8.42,301.9,291.19,123.12,292.65,0.58,0.68,1.97,0.66,"3,207.06","3,155.49","7,725.93","3,095.11",3068865.41,3248765.09,731128.45,3203072
